ID,CallDate,Overall_sat,Assist_Sat,Info,Off_protocol,Behaviour,Procedure,Advice,Addn_info,Availability,Resource,Dept_protocol,Dept_beh,Safety,Feedback
101,02/27/2020 12:00:00 AM,5,5,5,5,5,5,5,5,5,5,5,5,5,2
102,02/27/2020 12:00:00 AM,3,5,4,3,5,3,1,1,4,5,4,4,5,2
103,02/27/2020 12:00:00 AM,4,5,5,5,5,5,5,5,1,5,5,4,1,2
112,02/27/2020 12:00:00 AM,4,5,5,5,5,5,4,5,4,4,4,5,4,2
117,02/27/2020 12:00:00 AM,1,5,3,3,2,3,7,7,1,1,2,1,3,1
118,02/27/2020 12:00:00 AM,3,5,1,1,4,1,1,3,1,4,1,3,5,2
119,02/27/2020 12:00:00 AM,5,5,4,4,4,4,4,6,4,4,4,4,4,2
120,02/27/2020 12:00:00 AM,1,5,5,1,5,7,7,7,6,6,6,5,2,2
122,02/27/2020 12:00:00 AM,4,3,5,5,5,5,7,7,6,6,6,5,6,1
137,02/27/2020 12:00:00 AM,5,9,4,4,4,4,4,4,4,4,4,7,4,2
138,02/27/2020 12:00:00 AM,5,5,5,5,5,5,7,7,5,3,4,5,1,1
141,02/27/2020 12:00:00 AM,5,5,4,5,5,3,5,3,3,3,4,2,4,2
143,02/27/2020 12:00:00 AM,5,5,4,4,4,4,4,3,5,5,5,5,5,2
148,02/27/2020 12:00:00 AM,2,5,7,7,5,2,2,2,4,6,3,4,2,2
149,02/27/2020 12:00:00 AM,5,5,5,5,5,5,5,5,5,5,5,5,5,2
150,02/27/2020 12:00:00 AM,5,5,3,3,3,3,3,3,5,5,2,4,4,2
124,03-02-2020 00:00,4,4,4,4,5,3,2,2,4,4,6,4,6,2
125,03-02-2020 00:00,5,5,5,5,5,5,3,2,5,6,4,5,4,2
129,03-02-2020 00:00,5,5,7,7,5,7,7,7,4,6,4,4,2,2
130,03-02-2020 00:00,5,5,5,5,5,5,7,7,1,4,4,4,1,1
131,03-02-2020 00:00,5,4,5,5,5,5,7,7,5,5,5,5,5,2
132,03-02-2020 00:00,5,5,4,5,5,4,7,7,5,3,7,5,2,2
133,03-02-2020 00:00,3,5,7,5,5,1,5,4,3,5,5,5,4,2
135,03-02-2020 00:00,5,5,2,5,5,2,7,7,5,5,5,5,5,1
136,03-02-2020 00:00,5,5,5,5,5,5,7,7,2,1,6,5,1,2
